id,client_id,title,content_type,kanban_column,description,recording_id,script_id,assigned_to,created_by,scheduled_recording_date,scheduled_recording_time,position,created_at,updated_at,drive_link,editing_deadline,editing_started_at,edited_video_link,edited_video_type,approval_sent_at,approved_at,adjustment_notes,script_alteration_type,script_alteration_notes,editing_priority,immediate_alteration,review_deadline,alteration_deadline,approval_deadline
eb5e2a82-aa59-4a90-9b64-af4842114392,812c0c1b-d270-455e-8266-58ffcb218750,BORA SITEMA,reels,revisao,Roteiro gravado pelo videomaker. Link dos materiais: dsdasdasd,9fcfa787-6c1a-4a38-bdcf-27c424033962,ddd19de4-48a5-430b-aab3-d2ccc965392f,,13be1a49-2856-4adc-94b7-6efc2c797330,,,0,2026-03-17 21:04:26.640863+00,2026-03-17 22:07:52.285+00,dsdasdasd,2026-03-19 21:06:07.368+00,2026-03-17 21:06:27.536+00,,upload,2026-03-17 21:14:33.683+00,,,,,f,f,2026-03-18 21:14:33.683+00,,
7ed73717-053f-4b29-a4d7-503a9f3f9ba9,7f875e87-3890-43d7-86fe-eec22f7d2554,Vendas - DrºMessias ,reels,ideias,,,3192c046-dcb2-45c6-8320-23f91a0e1f59,,865011fc-0834-47cf-bb23-25a74a761c55,,,0,2026-03-18 17:53:19.189001+00,2026-03-18 17:53:19.189001+00,,,,,link,,,,,,f,f,,,
77bd4abd-6b14-4fac-81a6-4a6e1933c8a9,7f875e87-3890-43d7-86fe-eec22f7d2554,Depoimento - DrºMessias ,reels,ideias,,,912caad6-e8ba-4e46-bedd-816b882d0235,,865011fc-0834-47cf-bb23-25a74a761c55,,,0,2026-03-18 17:57:26.836879+00,2026-03-18 17:57:26.836879+00,,,,,link,,,,,,f,f,,,
