id,client_id,content_type,title,description,delivered_at,posted_at,platform,status,created_by,created_at,updated_at,scheduled_time,script_id,recording_id,content_task_id
888690d8-89ab-4d0f-9471-6b1ab3b31dc9,57427a15-1a98-45d0-83a6-420855174c16,reels,teste,,2026-03-14,,,entregue,865011fc-0834-47cf-bb23-25a74a761c55,2026-03-14 23:36:05.707835+00,2026-03-14 23:36:05.707835+00,,,,
fabd7380-1d33-48d6-a437-da30e3bf96db,812c0c1b-d270-455e-8266-58ffcb218750,reels,BORA SITEMA,Roteiro gravado pelo videomaker. Link dos materiais: dsdasdasd,2026-03-17,,,revisao,89cd85ce-c563-4672-8fe3-fbc7a2eb500b,2026-03-17 21:14:34.632771+00,2026-03-17 21:14:34.632771+00,,ddd19de4-48a5-430b-aab3-d2ccc965392f,9fcfa787-6c1a-4a38-bdcf-27c424033962,eb5e2a82-aa59-4a90-9b64-af4842114392
