id,task_id,user_id,action,details,created_at
09846386-ea5d-4ccc-afa1-e4cfd825d9a3,eb5e2a82-aa59-4a90-9b64-af4842114392,89cd85ce-c563-4672-8fe3-fbc7a2eb500b,Edição iniciada,,2026-03-17 21:06:28.071962+00
230cff9a-e558-484e-955b-a0b8c7ab554f,eb5e2a82-aa59-4a90-9b64-af4842114392,89cd85ce-c563-4672-8fe3-fbc7a2eb500b,Vídeo editado enviado via upload,https://agenciapulse.tech/uploads/content/812c0c1b-d270-455e-8266-58ffcb218750/eb5e2a82-aa59-4a90-9b64-af4842114392/PASCOA_3_-_ADRIANA_CAKES_1773782034674.mp4,2026-03-17 21:14:18.532663+00
2a45c479-14f1-4448-a394-87fbc52af5d2,eb5e2a82-aa59-4a90-9b64-af4842114392,89cd85ce-c563-4672-8fe3-fbc7a2eb500b,Enviado para Revisão,,2026-03-17 21:14:36.034717+00
7d5e737a-bcbd-4067-89f0-8d0c62f38ceb,eb5e2a82-aa59-4a90-9b64-af4842114392,89cd85ce-c563-4672-8fe3-fbc7a2eb500b,Enviado para aprovação,,2026-03-17 21:14:36.299908+00
