id,client_id,stage,title,description,status,contract_url,contract_sent,contract_signed,briefing_completed,briefing_data,wants_new_identity,use_real_photos,photo_warning_shown,assigned_to,completed_at,created_at,updated_at,drive_link
9d8b068c-9c7b-47e0-85df-913500b9194b,2ae88c14-f037-41e5-ab42-48c5a2ecc54f,cliente_novo,Novo cliente - Aguardando onboarding,,concluido,,f,f,f,{},,,f,,2026-03-14 12:36:49.344+00,2026-03-13 18:25:39.814537+00,2026-03-14 12:36:49.344+00,
b1bc1590-1c0f-447f-917f-540441852e1d,2ae88c14-f037-41e5-ab42-48c5a2ecc54f,contrato,Contrato - Assinatura,,concluido,https://zqpplhbzhetabjopdzcn.supabase.co/storage/v1/object/public/onboarding-contracts/2ae88c14-f037-41e5-ab42-48c5a2ecc54f/1773508641467_THAIS%20ALVES%20submarca.pdf,f,t,f,{},,,f,,2026-03-14 17:17:28.687+00,2026-03-14 12:36:50.355755+00,2026-03-14 17:17:28.687+00,
f51a408c-668d-4c40-8dac-78612bf87d12,2ae88c14-f037-41e5-ab42-48c5a2ecc54f,identidade_visual,Criação de Identidade Visual,,concluido,,f,f,f,{},,,f,,2026-03-14 17:17:36.515+00,2026-03-14 17:17:29.693753+00,2026-03-14 17:17:36.515+00,
ec2a081e-fd08-4390-9ed9-01813b884eb6,2ae88c14-f037-41e5-ab42-48c5a2ecc54f,reformulacao_perfil,Reformulação de Perfil,,concluido,,f,f,f,{},,,f,,2026-03-18 17:29:13.82+00,2026-03-14 17:17:38.482973+00,2026-03-18 17:29:13.82+00,
